"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"112","77083","77083","26713360.0","67963.0","+29.6944721","-095.6496274","70837","5505","6049","6274","6399","4929","4447","4610","5498","5398","5175","5180","4202","2845","1782","1068","716","469","291","34341","2832","3052","3177","3332","2524","2226","2093","2497","2567","2356","2427","1946","1329","896","509","302","174","102","36496","2673","2997","3097","3067","2405","2221","2517","3001","2831","2819","2753","2256","1516","886","559","414","295","189","32.0","30.1","33.6","51693","24625","27068","48958","23166","25792","45558","21386","24172","5831","2685","3146","4326","1983","2343","70837","68369","20489","21776","324","16317","1880","1959","1760","18","74","8687","1939","24","1","3","8","12","9439","2468","78","350","338","897","22284","22517","706","17004","131","10820","70837","24861","13061","519","583","10698","45976","70837","24861","13354","563","226","90","3","9238","1387","45976","7135","21213","98","16227","21","201","1081","70837","70828","20313","11697","27243","18757","8833","2820","1474","2742","288","102","1000","9","6","4","2","3","0","3","20313","17024","9384","11697","6544","1288","545","4039","2295","3289","2618","1215","187","1403","377","10668","3416","3.49","3.81","21719","20313","1406","812","14","267","35","33","245","1.8","12.7","20313","14763","5550","52336","18492","3.55","3.33","0.24306109664","0.00249639643"
"113","77084","77084","79630562.0","325455.0","+29.8274859","-095.6599197","95137","8126","8053","7764","7393","6672","7580","7716","7894","7034","6746","6560","5151","3655","2109","1209","685","475","315","46947","4120","4054","3972","3853","3342","3753","3736","3843","3455","3296","3128","2520","1746","997","559","287","184","102","48190","4006","3999","3792","3540","3330","3827","3980","4051","3579","3450","3432","2631","1909","1112","650","398","291","213","31.2","30.5","32.0","69607","33957","35650","66515","32377","34138","62539","30300","32239","6795","3075","3720","4793","2129","2664","95137","91502","53996","13365","667","8761","1533","803","913","58","604","3175","1675","80","10","41","7","22","14633","3635","273","460","517","1547","56980","14294","1201","9593","212","16696","95137","41052","27804","768","672","11808","54085","95137","41052","23229","690","451","118","21","14346","2197","54085","30767","12675","216","8643","59","287","1438","95137","95120","31473","17000","33347","25221","8628","2990","1227","4672","393","106","2210","17","0","0","0","17","16","1","31473","23502","13279","17000","9434","1895","994","4607","2851","7971","6204","3138","244","3066","583","14614","3777","3.02","3.51","33731","31473","2258","1389","36","401","60","103","269","1.9","10.9","31473","20149","11324","64356","30764","3.19","2.72","0.55375763017","0.00746273534"
"114","77085","77085","13711520.0","13494.0","+29.6207355","-095.4861501","16074","1387","1498","1574","1400","1119","1134","1246","1396","1132","1074","915","714","506","399","270","148","90","72","7879","733","748","818","742","555","567","596","675","546","502","432","319","227","178","121","63","36","21","8195","654","750","756","658","564","567","650","721","586","572","483","395","279","221","149","85","54","51","29.7","28.1","31.1","11316","5428","5888","10721","5123","5598","9970","4723","5247","1266","544","722","979","419","560","16074","15367","5886","5226","120","326","19","33","113","0","0","133","28","4","2","2","0","0","3805","707","22","17","28","470","6469","5334","237","378","31","4386","16074","9779","6250","35","27","3467","6295","16074","9779","5202","68","96","8","1","3794","610","6295","684","5158","24","318","3","11","97","16074","16074","4571","2436","6137","4385","2238","883","212","692","80","15","257","0","0","0","0","0","0","0","4571","3678","2140","2436","1483","297","143","945","514","893","726","302","57","424","102","2496","764","3.52","3.94","4857","4571","286","146","4","36","5","8","87","1.1","10.8","4571","3365","1206","12254","3820","3.64","3.17","0.20674943154","0.00127850883"
"115","77086","77086","17568012.0","18599.0","+29.9176947","-095.4899931","28009","2759","2698","2645","2458","2130","2072","2250","2281","1992","1720","1531","1282","916","560","308","208","123","76","13864","1339","1435","1309","1253","1105","1069","1104","1098","981","860","728","611","429","247","128","84","57","27","14145","1420","1263","1336","1205","1025","1003","1146","1183","1011","860","803","671","487","313","180","124","66","49","28.2","27.3","29.2","19409","9547","9862","18382","9005","9377","16976","8299","8677","1766","784","982","1275","543","732","28009","26930","11718","7282","249","2014","123","76","129","10","10","1286","380","9","1","2","0","6","5658","1079","57","53","93","606","12560","7514","407","2151","34","6461","28009","16376","12614","144","41","3577","11633","28009","16376","9446","182","215","46","3","5616","868","11633","2272","7100","34","1968","6","42","211","28009","27970","7758","4035","10977","7987","3706","1479","348","1494","152","32","586","39","0","0","0","39","24","15","7758","6324","3821","4035","2523","662","339","1627","959","1434","1123","520","61","603","181","4452","1016","3.61","3.96","8375","7758","617","355","13","87","15","16","131","1.9","9.8","7758","4496","3262","17035","10935","3.79","3.35","0.22891314983","0.00164293845"
"116","77087","77087","17258938.0","87757.0","+29.6856209","-095.3041595","36399","3391","3116","3006","3097","3033","2847","2640","2421","2206","2233","2120","1757","1487","1075","718","554","365","333","18496","1695","1574","1516","1585","1629","1542","1395","1238","1104","1135","1126","847","717","525","337","271","141","119","17903","1696","1542","1490","1512","1404","1305","1245","1183","1102","1098","994","910","770","550","381","283","224","214","29.5","29.0","30.0","26289","13413","12876","25066","12802","12264","23148","11814","11334","3909","1829","2080","3045","1393","1652","36399","35193","19010","5337","241","263","21","21","17","4","36","111","53","4","2","0","1","1","10338","1206","32","14","55","904","20042","5496","349","323","43","11388","36399","28897","24797","99","42","3959","7502","36399","28897","17015","257","190","21","2","10305","1107","7502","1995","5080","51","242","2","33","99","36399","36043","10455","5237","13364","8957","5099","2187","445","1888","176","53","755","356","261","121","140","95","86","9","10455","8006","4245","5237","2853","888","396","1881","996","2449","1944","1034","283","910","403","5157","2219","3.45","3.96","11494","10455","1039","517","81","83","33","27","298","1.4","10.1","10455","5926","4529","21364","14679","3.61","3.24","0.2002979884","0.00161684395"
"117","77088","77088","28967373.0","169952.0","+29.8814866","-095.4526195","49660","4108","4040","4092","4178","3480","3411","3194","3372","3260","3435","3559","3035","2318","1528","1060","787","470","333","24066","2114","2100","2020","2155","1780","1697","1551","1631","1562","1584","1659","1399","1042","719","464","317","163","109","25594","1994","1940","2072","2023","1700","1714","1643","1741","1698","1851","1900","1636","1276","809","596","470","307","224","32.3","30.5","34.1","36575","17371","19204","34814","16452","18362","32537","15299","17238","5469","2346","3123","4178","1772","2406","49660","48439","14596","23948","423","1827","89","158","60","7","20","1252","241","14","0","9","0","5","7631","1221","46","44","167","597","15503","24337","617","1987","54","8457","49660","19674","15482","115","46","4031","29986","49660","19674","10577","311","310","30","6","7569","871","29986","4019","23637","113","1797","8","62","350","49660","49604","15721","7006","17761","11587","6850","3024","603","2266","223","92","982","56","7","7","0","49","39","10","15721","11981","5723","7006","3357","1113","453","3862","1913","3740","3102","1388","262","1714","567","7056","3314","3.16","3.64","17680","15721","1959","1155","26","266","44","24","444","2.5","17.5","15721","10309","5412","32713","16891","3.17","3.12","0.2919076656","0.00272102837"
"118","77089","77089","32931806.0","1461490.0","+29.5869587","-095.2256006","48685","3857","3829","3926","3724","3453","3710","3806","3878","3270","3127","3013","2673","2271","1627","980","703","483","355","23897","1965","2005","2048","1892","1768","1810","1874","1825","1602","1490","1447","1263","1074","772","456","318","179","109","24788","1892","1824","1878","1832","1685","1900","1932","2053","1668","1637","1566","1410","1197","855","524","385","304","246","32.4","31.3","33.6","36337","17497","18840","34757","16708","18049","32640","15621","17019","5502","2479","3023","4148","1834","2314","48685","47178","26312","7454","234","6148","665","271","254","30","89","4186","653","51","11","14","3","23","6979","1507","102","201","220","560","27494","7913","464","6568","98","7758","48685","21395","17199","353","169","3674","27290","48685","21395","13190","251","145","51","17","6873","868","27290","13122","7203","89","6097","34","106","639","48685","48599","15902","8926","17040","12047","4670","1697","688","2061","181","64","927","86","84","21","63","2","2","0","15902","12328","6336","8926","4540","949","447","2453","1349","3574","2860","1336","194","1524","533","7226","3052","3.06","3.49","16805","15902","903","486","38","151","20","26","182","1.3","9.3","15902","11199","4703","35746","12853","3.19","2.73","0.38963428424","0.00320262084"
"119","77090","77090","21289363.0","133048.0","+30.0082401","-095.4389960","32930","3023","2565","2154","2319","3372","3713","2974","2378","2041","1927","1754","1420","1084","735","505","396","272","298","15713","1540","1287","1130","1146","1594","1748","1432","1142","968","870","783","647","495","328","227","179","106","91","17217","1483","1278","1024","1173","1778","1965","1542","1236","1073","1057","971","773","589","407","278","217","166","207","29.1","28.3","29.8","24802","11564","13238","23945","11172","12773","22272","10311","11961","2799","1205","1594","2206","931","1275","32930","31753","12344","14606","149","973","345","106","175","12","44","89","202","62","15","26","3","18","3619","1177","116","78","347","264","13269","15236","384","1156","119","4071","32930","9046","5970","266","145","2665","23884","32930","9046","4600","253","80","22","2","3520","569","23884","7744","14353","69","951","60","99","608","32930","32693","13566","4027","10032","7757","2715","1024","248","2353","159","52","1190","237","222","88","134","15","12","3","13566","7766","4310","4027","1918","837","437","2902","1955","5800","4783","2442","174","2341","369","4878","1573","2.41","3.16","16429","13566","2863","2402","32","111","16","50","252","3.3","18.9","13566","3259","10307","9069","23624","2.78","2.29","0.2456613652","0.00200306257"
"120","77091","77091","18598945.0","80375.0","+29.8530673","-095.4359660","23472","2162","1878","1744","1761","1757","1777","1593","1473","1449","1452","1561","1380","1127","781","555","440","294","288","11180","1094","966","902","873","868","847","718","736","700","654","718","660","499","339","233","173","102","98","12292","1068","912","842","888","889","930","875","737","749","798","843","720","628","442","322","267","192","190","32.0","30.2","33.5","17340","8037","9303","16640","7666","8974","15613","7193","8420","2971","1204","1767","2358","945","1413","23472","22914","5404","14464","144","121","18","20","17","3","6","45","12","4","1","3","0","0","2777","558","18","7","94","246","5822","14719","237","159","15","3146","23472","7048","5272","100","30","1646","16424","23472","7048","3583","206","106","4","4","2756","389","16424","1821","14258","38","117","0","21","169","23472","23215","8366","2539","7634","5199","3184","1430","215","1492","139","52","683","257","206","115","91","51","50","1","8366","5516","2598","2539","1122","588","236","2389","1240","2850","2340","1103","223","1237","392","3269","1816","2.77","3.42","10992","8366","2626","1658","12","62","104","19","771","1.6","25.7","8366","3596","4770","10174","13041","2.83","2.73","0.31170438272","0.00174391532"
"121","77092","77092","19724204.0","42292.0","+29.8300241","-095.4744085","33745","3104","2542","2083","2123","2658","3034","2906","2562","2136","2249","2075","1866","1371","966","780","609","387","294","17174","1592","1312","1076","1057","1419","1635","1616","1393","1116","1115","1055","879","643","424","341","263","148","90","16571","1512","1230","1007","1066","1239","1399","1290","1169","1020","1134","1020","987","728","542","439","346","239","204","32.1","31.4","33.0","25597","12977","12620","24774","12576","12198","23387","11863","11524","3842","1646","2196","3036","1266","1770","33745","32648","19996","4562","278","421","50","69","47","9","57","137","52","8","2","2","0","4","7383","1097","80","51","140","645","20961","4802","419","513","37","8167","33745","19605","14948","143","90","4424","14140","33745","19605","11017","182","217","23","1","7325","840","14140","8979","4380","61","398","7","58","257","33745","33631","12654","4728","10165","7565","3503","1263","310","2581","140","68","1145","114","0","0","0","114","100","14","12654","7846","3933","4728","2326","1053","449","2065","1158","4808","3809","1929","344","1880","677","4508","2418","2.66","3.34","14870","12654","2216","1891","21","109","16","17","162","2.0","20.6","12654","5388","7266","13228","20403","2.46","2.81","0.28306011033","0.00184497714"
"122","77093","77093","31147290.0","20526.0","+29.8634001","-095.3414093","46929","4869","4537","4131","4174","3828","3609","3407","3119","2853","2851","2554","2049","1533","1118","879","678","447","293","24198","2472","2336","2141","2171","2088","1884","1761","1631","1470","1522","1329","1098","786","541","390","304","171","103","22731","2397","2201","1990","2003","1740","1725","1646","1488","1383","1329","1225","951","747","577","489","374","276","190","27.7","27.4","28.0","32568","16843","15725","30834","15936","14898","28448","14651","13797","4262","1928","2334","3415","1509","1906","46929","45257","24667","5713","520","179","29","33","10","4","1","77","25","16","4","5","0","7","14162","1672","81","25","79","1174","26089","5919","738","283","59","15592","46929","38050","33919","74","25","4032","8879","46929","38050","21629","274","461","30","14","14109","1533","8879","3038","5439","59","149","2","53","139","46929","46507","12415","6231","17937","12454","7354","3396","518","2570","239","85","858","422","9","7","2","413","252","161","12415","9875","5522","6231","3697","1116","470","2528","1355","2540","2006","1161","279","845","422","6761","2645","3.75","4.19","13858","12415","1443","593","30","95","53","33","639","1.3","10.1","12415","7140","5275","27380","19127","3.83","3.63","0.25281534228","0.00291009461"
"123","77094","77094","29196393.0","810402.0","+29.7692846","-095.6812923","8498","398","567","762","765","297","245","272","500","656","992","1077","866","458","276","153","107","58","49","4218","203","287","391","418","161","116","113","220","296","461","540","452","234","164","74","46","23","19","4280","195","280","371","347","136","129","159","280","360","531","537","414","224","112","79","61","35","30","43.4","43.3","43.4","6577","3234","3343","6210","3030","3180","5946","2890","3056","896","451","445","643","326","317","8498","8365","6311","231","15","1700","233","500","104","68","519","146","130","4","0","2","0","2","104","133","27","51","3","29","6422","246","46","1767","4","147","8498","677","294","35","39","309","7821","8498","677","556","3","6","6","0","76","30","7821","5755","228","9","1694","4","28","103","8498","8498","2924","2365","2846","2235","247","44","113","116","9","10","64","0","0","0","0","0","0","0","2924","2571","1287","2365","1162","60","32","146","93","353","305","129","20","176","60","1317","462","2.91","3.12","3189","2924","265","203","3","33","8","8","10","1.2","43.1","2924","2659","265","7765","733","2.92","2.77","0.38510814613","0.00279893806"
"124","77095","77095","39850707.0","386555.0","+29.9092154","-095.6512339","66502","5065","5433","5669","5106","3840","4311","4832","5665","5322","5549","5404","4163","2706","1341","855","570","388","283","32492","2616","2687","2889","2647","1853","2073","2220","2665","2557","2645","2661","2092","1385","659","373","232","151","87","34010","2449","2746","2780","2459","1987","2238","2612","3000","2765","2904","2743","2071","1321","682","482","338","237","196","34.0","33.3","34.5","49193","23707","25486","46928","22501","24427","44482","21264","23218","4932","2260","2672","3437","1502","1935","66502","64528","43680","9091","303","7119","1811","761","684","60","394","2308","1101","29","10","9","1","9","4306","1974","185","472","322","485","45286","9661","642","7859","110","5065","66502","14885","9971","475","282","4157","51617","66502","14885","9491","239","143","47","6","4166","793","51617","34189","8852","160","7072","23","140","1181","66502","66368","22922","14146","23156","18160","3846","1217","777","2298","191","42","1158","134","115","35","80","19","9","10","22922","17801","10036","14146","7787","1032","575","2623","1674","5121","4117","1996","135","2121","408","10698","2541","2.9","3.31","23943","22922","1021","508","16","279","33","47","138","1.6","7.9","22922","17017","5905","52201","14167","3.07","2.4","0.33714014249","0.00375858409"
"125","77096","77096","15503253.0","148090.0","+29.6753391","-095.4793720","32628","2361","2103","1847","1948","2062","2518","2146","2010","2012","2175","2473","2179","1752","1219","1037","1036","939","811","15417","1184","1082","931","968","994","1196","1060","973","967","1030","1133","1000","789","523","436","424","398","329","17211","1177","1021","916","980","1068","1322","1086","1037","1045","1145","1340","1179","963","696","601","612","541","482","38.4","36.4","40.0","25888","12014","13874","25069","11627","13442","24050","11098","12952","6020","2553","3467","5042","2110","2932","32628","31784","20448","6076","109","2687","354","1323","197","40","80","246","447","9","7","1","1","0","2455","844","66","188","129","261","21138","6331","244","2944","29","2836","32628","6508","3767","119","138","2484","26120","32628","6508","3520","173","57","28","2","2355","373","26120","16928","5903","52","2659","7","100","471","32628","32610","13968","6287","9179","6958","1737","525","282","1439","66","76","659","18","8","7","1","10","7","3","13968","8674","3877","6287","2679","556","210","1831","988","5294","4528","1809","394","2719","1155","4171","3728","2.33","2.98","15431","13968","1463","881","41","122","21","42","356","1.6","11.6","13968","7299","6669","18073","14537","2.48","2.18","0.20346938689","0.00145866395"
"126","77098","77098","4598100.0","164.0","+29.7348128","-095.4160984","13076","520","350","334","329","1207","2342","1662","1162","814","808","826","814","757","445","259","198","119","130","6643","268","164","178","171","554","1132","856","645","449","460","424","412","380","223","125","107","52","43","6433","252","186","156","158","653","1210","806","517","365","348","402","402","377","222","134","91","67","87","34.2","35.0","33.5","11802","5995","5807","11663","5926","5737","11461","5818","5643","1604","772","832","1151","550","601","13076","12771","10480","481","51","1088","322","277","54","46","65","161","163","5","0","1","0","4","666","305","50","114","22","75","10758","522","116","1223","14","768","13076","2097","1420","60","42","575","10979","13076","2097","1294","18","24","10","0","645","106","10979","9186","463","27","1078","5","21","199","13076","13070","7856","1912","1596","1331","363","61","50","1343","16","30","631","6","0","0","0","6","0","6","7856","2483","886","1912","594","199","79","372","213","5373","4273","2204","192","2069","312","933","934","1.66","2.56","9064","7856","1208","795","24","115","25","116","133","4.7","12.5","7856","2324","5532","4495","8575","1.93","1.55","0.10199794285","0.00042879723"
"127.0","77099","77099","16112274.0","11938.0","+29.6708695","-095.5859899","47091","3990","3988","3803","3868","3666","3793","3515","3546","3212","3189","3064","2480","1884","1214","782","537","327","233","23107","2066","2039","1936","1929","1860","1883","1726","1717","1556","1552","1508","1157","871","530","333","238","141","65","23984","1924","1949","1867","1939","1806","1910","1789","1829","1656","1637","1556","1323","1013","684","449","299","186","168","30.6","29.6","31.7","34569","16675","17894","32937","15883","17054","30719","14794","15925","4185","1809","2376","3093","1307","1786","47091","45249","15278","14318","324","7084","1561","851","617","9","33","2631","1382","26","4","9","2","11","8219","1842","63","156","216","817","16611","14825","601","7512","82","9429","47091","21111","12118","232","299","8462","25980","47091","21111","11139","347","231","40","7","8131","1216","25980","4139","13971","93","7044","19","88","626","47091","46794","15167","6580","16882","11896","5671","2083","694","2494","166","73","1051","297","270","163","107","27","22","5","15167","10938","6056","6580","3566","1137","507","3221","1983","4229","3475","1745","212","1730","471","6923","2405","3.09","3.66","17439","15167","2272","1804","40","168","10","25","225","2.6","16.9","15167","6310","8857","22127","24667","3.51","2.79","0.21576736585","0.001502677"
"127.1","77099","77099","16112274.0","11938.0","+29.6708695","-095.5859899","47091","3990","3988","3803","3868","3666","3793","3515","3546","3212","3189","3064","2480","1884","1214","782","537","327","233","23107","2066","2039","1936","1929","1860","1883","1726","1717","1556","1552","1508","1157","871","530","333","238","141","65","23984","1924","1949","1867","1939","1806","1910","1789","1829","1656","1637","1556","1323","1013","684","449","299","186","168","30.6","29.6","31.7","34569","16675","17894","32937","15883","17054","30719","14794","15925","4185","1809","2376","3093","1307","1786","47091","45249","15278","14318","324","7084","1561","851","617","9","33","2631","1382","26","4","9","2","11","8219","1842","63","156","216","817","16611","14825","601","7512","82","9429","47091","21111","12118","232","299","8462","25980","47091","21111","11139","347","231","40","7","8131","1216","25980","4139","13971","93","7044","19","88","626","47091","46794","15167","6580","16882","11896","5671","2083","694","2494","166","73","1051","297","270","163","107","27","22","5","15167","10938","6056","6580","3566","1137","507","3221","1983","4229","3475","1745","212","1730","471","6923","2405","3.09","3.66","17439","15167","2272","1804","40","168","10","25","225","2.6","16.9","15167","6310","8857","22127","24667","3.51","2.79","0.21576736585","0.001502677"
