"shapeid","x","y"
"0","-94.99979","29.990899"
"0","-94.999781","29.990869"
"0","-94.999733","29.990717"
"0","-94.999698","29.990636"
"0","-94.999555","29.990299"
"0","-94.999439","29.989945"
"0","-94.999397","29.989816"
"0","-94.999355","29.989714"
"0","-94.999327","29.989646"
"0","-94.999243","29.989442"
"0","-94.999239","29.989431"
"0","-94.99921","29.989377"
"0","-94.999201","29.989361"
"0","-94.999176","29.989313"
"0","-94.999168","29.989297"
"0","-94.999119","29.989205"
"0","-94.999018","29.98904"
"0","-94.999018","29.989028"
"0","-94.999018","29.988936"
"0","-94.998986","29.988815"
"0","-94.998967","29.988799"
"0","-94.998916","29.9887"
"0","-94.998689","29.988171"
"0","-94.998568","29.987887"
"0","-94.998554","29.987855"
"0","-94.998513","29.98776"
"0","-94.9985","29.987729"
"0","-94.998436","29.987579"
"0","-94.998391","29.987474"
"0","-94.99828","29.987117"
"0","-94.998258","29.987045"
"0","-94.998223","29.986966"
"0","-94.998065","29.986613"
"0","-94.998062","29.986605"
"0","-94.997929","29.986259"
"0","-94.997638","29.985537"
"0","-94.997619","29.985489"
"0","-94.997499","29.985178"
"0","-94.997471","29.985107"
"0","-94.997389","29.984894"
"0","-94.997362","29.984824"
"0","-94.99733","29.984742"
"0","-94.997235","29.984498"
"0","-94.997204","29.984417"
"0","-94.997182","29.98436"
"0","-94.997164","29.984312"
"0","-94.997123","29.98419"
"0","-94.997104","29.984134"
"0","-94.997041","29.98395"
"0","-94.996961","29.983713"
"0","-94.996825","29.983412"
"0","-94.996746","29.983236"
"0","-94.996662","29.98305"
"0","-94.996632","29.982982"
"0","-94.996537","29.982669"
"0","-94.996459","29.982476"
"0","-94.996383","29.982288"
"0","-94.996158","29.981734"
"0","-94.996069","29.981514"
"0","-94.995993","29.981355"
"0","-94.995601","29.980282"
"0","-94.995514","29.980065"
"0","-94.995292","29.979511"
"0","-94.995269","29.979456"
"0","-94.995266","29.979447"
"0","-94.995234","29.979282"
"0","-94.995227","29.979243"
"0","-94.995226","29.979224"
"0","-94.995221","29.979161"
"0","-94.995234","29.979067"
"0","-94.995259","29.979018"
"0","-94.995262","29.978975"
"0","-94.995271","29.978886"
"0","-94.995316","29.97877"
"0","-94.995404","29.978677"
"0","-94.995423","29.978633"
"0","-94.995429","29.97855"
"0","-94.99553","29.978336"
"0","-94.995546","29.978279"
"0","-94.995568","29.978204"
"0","-94.995561","29.978027"
"0","-94.995561","29.978022"
"0","-94.995511","29.977901"
"0","-94.995429","29.97783"
"0","-94.99542","29.977826"
"0","-94.994702","29.977576"
"0","-94.994463","29.977493"
"0","-94.994171","29.977391"
"0","-94.993849","29.97722"
"0","-94.993846","29.977218"
"0","-94.993846","29.977217"
"0","-94.993843","29.977216"
"0","-94.993841","29.977215"
"0","-94.993838","29.977213"
"0","-94.993837","29.977213"
"0","-94.993836","29.977212"
"0","-94.993834","29.977212"
"0","-94.993832","29.977211"
"0","-94.993827","29.97721"
"0","-94.993822","29.977208"
"0","-94.993818","29.977207"
"0","-94.993817","29.977207"
"0","-94.993816","29.977206"
"0","-94.993809","29.977205"
"0","-94.993808","29.977204"
"0","-94.993804","29.977203"
"0","-94.993802","29.977203"
"0","-94.993801","29.977202"
"0","-94.993799","29.977202"
"0","-94.993674","29.977147"
"0","-94.993639","29.977133"
"0","-94.993527","29.977105"
"0","-94.993474","29.977083"
"0","-94.993288","29.97698"
"0","-94.993214","29.976955"
"0","-94.993191","29.97694"
"0","-94.993159","29.976906"
"0","-94.993075","29.97684"
"0","-94.99303","29.976788"
"0","-94.992973","29.976749"
"0","-94.992898","29.976716"
"0","-94.99287","29.976709"
"0","-94.992804","29.976705"
"0","-94.99271","29.976711"
"0","-94.992682","29.976699"
"0","-94.992575","29.976665"
"0","-94.992483","29.976624"
"0","-94.992389","29.976577"
"0","-94.992284","29.976525"
"0","-94.99218","29.97648"
"0","-94.992135","29.976458"
"0","-94.990098","29.975541"
"0","-94.989973","29.975493"
"0","-94.989781","29.975387"
"0","-94.98965","29.975333"
"0","-94.987842","29.974514"
"0","-94.98598","29.973086"
"0","-94.98596","29.973068"
"0","-94.985911","29.973012"
"0","-94.985669","29.972736"
"0","-94.985531","29.972536"
"0","-94.985397","29.972321"
"0","-94.985364","29.972279"
"0","-94.985285","29.971996"
"0","-94.985318","29.971797"
"0","-94.98534","29.971669"
"0","-94.985274","29.970373"
"0","-94.984793","29.96847"
"0","-94.984762","29.968025"
"0","-94.984282","29.967547"
"0","-94.984017","29.966883"
"0","-94.983783","29.966484"
"0","-94.98349","29.966127"
"0","-94.982663","29.965369"
"0","-94.982604","29.965321"
"0","-94.982228","29.965073"
"0","-94.982152","29.964968"
"0","-94.982095","29.964754"
"0","-94.982072","29.964581"
"0","-94.982069","29.964562"
"0","-94.982062","29.964506"
"0","-94.98206","29.964488"
"0","-94.982024","29.964222"
"0","-94.981993","29.963984"
"0","-94.98195","29.963749"
"0","-94.981891","29.963428"
"0","-94.981879","29.963357"
"0","-94.981853","29.963163"
"0","-94.981817","29.962899"
"0","-94.981791","29.962703"
"0","-94.981691","29.962112"
"0","-94.981658","29.961916"
"0","-94.981613","29.961867"
"0","-94.981507","29.961199"
"0","-94.981436","29.960745"
"0","-94.981385","29.96025"
"0","-94.98129","29.959794"
"0","-94.981214","29.959541"
"0","-94.981176","29.959261"
"0","-94.981154","29.959207"
"0","-94.981063","29.95898"
"0","-94.980961","29.958562"
"0","-94.980909","29.958383"
"0","-94.98086","29.95821"
"0","-94.980828","29.95798"
"0","-94.980789","29.957841"
"0","-94.98074","29.957663"
"0","-94.980683","29.957457"
"0","-94.980658","29.95727"
"0","-94.980658","29.957133"
"0","-94.980645","29.957083"
"0","-94.980689","29.956803"
"0","-94.980758","29.956511"
"0","-94.980827","29.956137"
"0","-94.980922","29.955868"
"0","-94.980947","29.955835"
"0","-94.98096","29.955791"
"0","-94.981029","29.955697"
"0","-94.981132","29.955599"
"0","-94.981175","29.95556"
"0","-94.981673","29.955417"
"0","-94.982292","29.955142"
"0","-94.98502","29.954019"
"0","-94.985112","29.953982"
"0","-94.987214","29.95316"
"0","-94.987513","29.953044"
"0","-94.987589","29.952995"
"0","-94.987627","29.952956"
"0","-94.987696","29.952835"
"0","-94.987911","29.952302"
"0","-94.988094","29.951735"
"0","-94.988239","29.95135"
"0","-94.988377","29.950964"
"0","-94.988793","29.949808"
"0","-94.988901","29.949508"
